Date,Open,High,Low,Close,Adj Close,Volume
12/1/2000,30.46875,32.65625,29.03125,31.25,21.344528,1302300
1/1/2001,31.21875,31.6875,29.1875,31.370001,21.515694,1263400
2/1/2001,31.299999,31.34,28.889999,29.49,20.226261,775700
3/1/2001,29.280001,30.85,24.5,26.59,18.23724,764300
4/1/2001,26.59,30.24,25.24,29.629999,20.380173,362800
5/1/2001,29.459999,32.470001,29.32,30.870001,21.233074,548200
6/1/2001,30.9,31.49,28.809999,28.9,19.878067,788700
7/1/2001,28.950001,29.530001,27.82,28.84,19.879768,605900
8/1/2001,29.1,29.74,27.33,27.85,19.197346,569300
9/1/2001,27.719999,28.26,20.4,23.67,16.316029,785400
10/1/2001,23.700001,25.75,23.17,24.09,16.675304,638700
11/1/2001,24.15,27.25,23.799999,26.5,18.343525,1200400
12/1/2001,26.370001,28.120001,26.049999,27.700001,19.174185,7020800
1/1/2002,27.6,27.99,24.35,25.950001,17.962807,7274400
2/1/2002,25.940001,27.25,24.120001,26.6,18.412745,10132400
3/1/2002,26.799999,28.780001,26.610001,27.24,18.855753,3140700
4/1/2002,26.98,27.75,24.65,25.360001,17.60573,4521000
5/1/2002,25.299999,26.35,24.77,25.469999,17.682095,2421200
6/1/2002,25.6,25.6,22.700001,23.85,16.557446,1814600
7/1/2002,23.969999,24.01,19.1,22.5,15.658152,1912200
8/1/2002,22.43,23.34,20.5,22.15,15.414575,996600
9/1/2002,21.76,22.219999,19.02,19.52,13.584311,2169300
10/1/2002,19.639999,21.08,17.75,20.48,14.306364,4566900
11/1/2002,20.379999,21.75,19.969999,21.549999,15.05382,2246600
12/1/2002,21.85,22.09,20.16,20.59,14.383212,3951900
1/1/2003,20.83,21.559999,19.15,19.48,13.682835,2421600
2/1/2003,19.68,19.77,18.35,19.18,13.472113,2051300
3/1/2003,19.389999,20.58,17.85,19.309999,13.563423,9655900
4/1/2003,19.450001,21.4,19.200001,21.4,15.088903,3861400
5/1/2003,21.4,22.18,20.85,21.98,15.497849,5550500
6/1/2003,22.200001,23.59,21.530001,22.389999,15.786938,5248000
7/1/2003,22.219999,23.450001,21.309999,23.129999,16.344452,12303800
8/1/2003,23.15,24.4,22.379999,24.030001,16.980423,10763100
9/1/2003,24.4,24.67,23.049999,23.290001,16.45752,11721300
10/1/2003,23.4,24.879999,23.35,24.73,17.537117,4399000
11/1/2003,24.879999,25.299999,24.450001,25.219999,17.884592,5503100
12/1/2003,25.4,27.049999,25.299999,26.76,18.976671,9473500
1/1/2004,27,27.950001,26.629999,27.030001,19.262325,12431600
2/1/2004,26.83,27.9,25.84,26.83,19.119795,10641400
3/1/2004,26.860001,27.139999,25.16,26.41,18.820492,18209100
4/1/2004,26.530001,27.450001,26.4,26.4,18.878765,15286000
5/1/2004,26.35,27.219999,25.66,27.049999,19.343586,10210900
6/1/2004,26.9,28.780001,26.85,28.66,20.494896,12655700
7/1/2004,28.780001,28.780001,27.26,27.860001,19.964289,17556600
8/1/2004,27.76,28.049999,26.549999,27.879999,19.978617,14738000
9/1/2004,27.950001,28.639999,27.6,28.379999,20.33691,13690100
10/1/2004,28.200001,29,27.5,28.67,20.616655,17722800
11/1/2004,28.73,30.889999,28.59,30.469999,21.911032,14105000
12/1/2004,30.6,31.450001,30.25,31.07,22.342485,10806900
1/1/2005,31.25,31.290001,29.389999,30.200001,21.826323,11661600
2/1/2005,30.299999,30.85,29.809999,30.549999,22.079271,8389400
3/1/2005,30.700001,31.5,29.9,30.43,21.992546,14746700
4/1/2005,30.51,30.65,28.799999,29.32,21.264559,17582900
5/1/2005,29.49,30.780001,28.959999,30.25,21.939045,28694000
6/1/2005,30.42,30.629999,29.120001,29.379999,21.308067,16131300
7/1/2005,29.6,30.76,28.83,30.5,22.175447,16297100
8/1/2005,30.58,30.610001,29.33,29.780001,21.651972,16488000
9/1/2005,29.41,30.42,29.15,30.16,21.928246,22624300
10/1/2005,30.26,30.26,29.120001,29.73,21.700912,37512500
11/1/2005,29.85,31.799999,29.48,31.459999,22.96369,13781400
12/1/2005,31.690001,32.029999,31.09,31.42,22.934498,17697900
1/1/2006,31.17,32.049999,30.9,31.51,23.138403,22977400
2/1/2006,31.41,32.970001,31.25,32.490002,23.858032,15873700
3/1/2006,32.650002,34.099998,32.209999,33.799999,24.819988,22349100
4/1/2006,34.009998,35.119999,33.560001,34.529999,25.451313,19603200
5/1/2006,34.450001,36.02,33.349998,33.939999,25.016438,33775700
6/1/2006,33.860001,34.5,32.259998,33.810001,24.92061,37812900
7/1/2006,33.919998,34,31.52,31.889999,23.565483,44119100
8/1/2006,31.66,32.779999,31.030001,32.25,23.831514,37846400
9/1/2006,32.439999,33.669998,31.91,33.34,24.63698,32553400
10/1/2006,33.59,35.049999,33.299999,34.279999,25.438967,38572700
11/1/2006,34.41,35.580002,33.790001,35.119999,26.062326,29117900
12/1/2006,35.009998,35.549999,34.68,35.009998,25.980694,20947500
1/1/2007,35.130001,35.959999,34.75,35.740002,26.736834,38454400
2/1/2007,35.950001,36.950001,35,35.34,26.437588,44343500
3/1/2007,34.869999,36.470001,34.09,35.549999,26.594685,69568800
4/1/2007,35.639999,38,35.41,37.200001,27.889267,55668600
5/1/2007,37.439999,39.200001,37.259998,39.130001,29.33621,64505300
6/1/2007,39.380001,39.869999,38.060001,39.040001,29.268742,75544500
7/1/2007,39.07,41.59,38.889999,39.41,29.622238,92705900
8/1/2007,39.200001,40.290001,36.040001,39.419998,29.629745,158499200
9/1/2007,39.360001,41.080002,38.209999,41.080002,30.877487,87943100
10/1/2007,41.060001,41.990002,39.009998,40.549999,30.633184,105275000
11/1/2007,40,40.700001,37.509998,39.400002,29.764406,121739900
12/1/2007,39.650002,40.82,38.369999,39.16,29.583107,69533700
1/1/2008,39.049999,39.209999,32.400002,37,28.085127,206244400
2/1/2008,37.349998,37.990002,35.939999,36.25,27.515844,128621500
3/1/2008,36,37.790001,34.889999,37.400002,28.388752,131212100
4/1/2008,37.68,38.779999,36.220001,38.5,29.35351,131388500
5/1/2008,38.27,39.970001,37.650002,38.84,29.612749,110522600
6/1/2008,38.669998,38.939999,33.509998,34.009998,25.930214,139349600
7/1/2008,33.5,35.48,32,34.279999,26.258478,204058500
8/1/2008,34.599998,36.110001,33.869999,35.220001,26.978521,170578700
9/1/2008,35.759998,36.16,29.290001,30.799999,23.5928,277155400
10/1/2008,30.309999,30.309999,21.24,25.18,19.393291,371410700
11/1/2008,25.09,26.360001,19.190001,23.110001,17.799013,297138300
12/1/2008,22.780001,23.950001,21.139999,23.42,18.037766,238768500
1/1/2009,23.52,24.74,20.4,20.610001,16.027782,263342400
2/1/2009,20.299999,21.719999,17.07,17.1,13.298153,212162000
3/1/2009,16.889999,19.65,15.14,18.43,14.332455,237901300
4/1/2009,18.26,22.32,18.129999,21.76,17.08531,232188600
5/1/2009,21.780001,23.51,21.469999,22.49,17.658482,259000000
6/1/2009,22.969999,24.129999,21.08,21.959999,17.24234,258359500
7/1/2009,21.76,24.129999,20.209999,23.879999,18.875143,244842600
8/1/2009,24.190001,25.73,23.84,25.02,19.776215,224351500
9/1/2009,24.959999,27.549999,24.360001,26.34,20.819559,239379500
10/1/2009,26.129999,27.5,25.26,25.290001,20.095583,271425300
11/1/2009,25.41,28.17,25.200001,27.51,21.859619,215795800
12/1/2009,27.870001,28.559999,27.459999,27.790001,22.082102,147733100
1/1/2010,28.09,29.610001,27.309999,27.379999,21.897663,229985700
2/1/2010,27.690001,29.02,26.66,28.84,23.065327,282156500
3/1/2010,28.959999,31.59,28.85,31.24,24.984774,225322200
4/1/2010,31.51,33.459999,31.209999,32.57,26.137724,290985300
5/1/2010,32.59,33.32,27.91,29.6,23.754271,603729400
6/1/2010,29.309999,30.6,27.370001,27.43,22.012827,477097800
7/1/2010,27.4,30.809999,26.790001,30.290001,24.427578,393540800
8/1/2010,30.709999,31.15,27.67,28.190001,22.734018,369832500
9/1/2010,28.610001,31.91,28.59,31.280001,25.225964,347254000
10/1/2010,31.540001,32.950001,30.790001,32.18,26.084034,298060400
11/1/2010,32.310001,33.529999,31.82,32.610001,26.432573,272927600
12/1/2010,33.110001,35,33.110001,34.869999,28.264458,204594200
1/1/2011,35.049999,36.82,34.73,36.240002,29.525009,222438200
2/1/2011,36.470001,38.09,35.91,37.009998,30.152334,258576600
3/1/2011,37.200001,37.77,35.080002,37.669998,30.690052,442017900
4/1/2011,37.849998,38.869999,36.240002,38.700001,31.66769,297120800
5/1/2011,38.959999,38.98,36.419998,37.630001,30.792122,436609200
6/1/2011,37.470001,37.560001,35.049999,37.240002,30.472998,475594800
7/1/2011,37.220001,38.43,34.189999,34.68,28.518888,440770600
8/1/2011,35.16,35.220001,29.030001,32.400002,26.64394,855156100
9/1/2011,32.450001,32.779999,28.65,29.219999,24.028889,676724100
10/1/2011,29,34.580002,27.67,33.419998,27.636559,433393100
11/1/2011,32.400002,34.09,31.08,33.889999,28.025219,368214700
12/1/2011,33.700001,34.34,32.220001,33.75,27.909451,347900400
1/1/2012,34.41,36.919998,34.150002,36.220001,30.152718,236939600
2/1/2012,36.5,37.66,36.5,37.23,30.993534,236012400
3/1/2012,37.290001,38.169998,35.959999,37.419998,31.151699,358258600
4/1/2012,37.34,37.790001,35.560001,37.009998,30.954033,352967500
5/1/2012,36.93,37.400002,34.02,34.669998,28.996929,377532500
6/1/2012,33.98,35.700001,33.080002,35.669998,29.833298,373687800
7/1/2012,35.759998,36.189999,33.869999,35.810001,30.092129,379127400
8/1/2012,35.990002,37.389999,35,36.360001,30.554312,259303000
9/1/2012,36.240002,38.07,35.75,36.529999,30.697161,227149600
10/1/2012,36.720001,37.540001,35.990002,36.490002,30.862017,235998800
11/1/2012,36.59,37.610001,35.189999,37.130001,31.403313,235687000
12/1/2012,37.32,38.529999,36.709999,37.900002,32.054535,173628200
1/1/2013,38.720001,40.91,38.52,40.080002,34.14698,167044500
2/1/2013,40.330002,41.419998,39.970001,40.970001,34.905243,180538300
3/1/2013,40.709999,42.16,40.419998,41.759998,35.5783,198038100
4/1/2013,41.700001,42.130001,40.02,41.450001,35.467442,277643100
5/1/2013,41.200001,44.700001,40.900002,43.529999,37.247219,247700400
6/1/2013,43.709999,44.259998,41.369999,42.639999,36.485687,258432300
7/1/2013,42.990002,45.639999,42.349998,45.16,38.839413,214848900
8/1/2013,45.419998,46.02,43.93,44.040001,37.876163,166175500
9/1/2013,44.459999,48.009998,44.130001,46.41,39.914455,183854000
10/1/2013,46.389999,48.990002,45.09,48.619999,42.007774,241735700
11/1/2013,48.73,50.779999,48.57,50.400002,43.545704,157058600
12/1/2013,50.380001,52.299999,49.130001,52.259998,45.152721,181811600
1/1/2014,51.98,52.32,49.439999,50.029999,43.446171,225999800
2/1/2014,49.91,52.34,48.380001,52.060001,45.209045,222309400
3/1/2014,51.5,53.25,51.02,52.330002,45.443504,246571400
4/1/2014,52.549999,53.490002,50.740002,53.029999,46.252014,233680300
5/1/2014,52.98,54.119999,52.380001,54.049999,47.141644,156880500
6/1/2014,54.080002,55.82,53.779999,54.060001,47.150375,148953300
7/1/2014,54.119999,54.810001,51.799999,51.830002,45.411659,215699200
8/1/2014,51.700001,54.5,51.200001,54.02,47.33046,217263700
9/1/2014,54.139999,54.830002,52.75,53.150002,46.568207,165981600
10/1/2014,52.98,55.529999,48.830002,55.209999,48.601288,421833800
11/1/2014,55.290001,57.619999,54.900002,56.91,50.097782,133810800
12/1/2014,56.73,57.73,54.139999,56.580002,49.807293,218606600
1/1/2015,56.860001,56.939999,53.889999,54.57,48.307648,261849100
2/1/2015,54.709999,58.23,54.209999,57.490002,50.892555,153132900
3/1/2015,57.619999,58.029999,54.950001,55.77,49.36993,198526000
4/1/2015,55.639999,57.060001,55.02,55.630001,49.47229,171691800
5/1/2015,55.889999,57.290001,55.32,55.810001,49.632366,151433600
6/1/2015,55.990002,56.639999,53.970001,54.060001,48.076077,175094600
7/1/2015,54.599998,55.150002,52.459999,54.220001,48.457775,211771500
8/1/2015,54.119999,54.77,47.599998,51.290001,45.839153,309027200
9/1/2015,50.209999,53.119999,48.810001,49.889999,44.587933,264094900
10/1/2015,49.82,54.860001,48.990002,54.27,48.764507,312484500
11/1/2015,54.279999,55.560001,53.240002,54.740002,49.186829,245287900
12/1/2015,54.759998,55.18,51.700001,53.009998,47.63232,293479800
1/1/2016,52.110001,52.529999,46.82,49.990002,45.191425,308903300
2/1/2016,49.59,52.849998,48.110001,52.119999,47.11697,303328700
3/1/2016,52.330002,56.029999,52.330002,55.470001,50.145393,233307100
4/1/2016,55.150002,57.18,54.25,56.16,51.029633,252395300
5/1/2016,56.27,56.490002,54.389999,55.919998,50.811569,237575200
6/1/2016,55.630001,57.220001,52.779999,56.009998,50.893341,318605700
7/1/2016,56.029999,58.990002,55.09,58.040001,53.028667,219498100
8/1/2016,57.93,59.34,57.27,58.59,53.531174,182164600
9/1/2016,58.689999,59.130001,56.5,58.380001,53.339306,249972700
10/1/2016,58.200001,58.619999,56.400002,57.209999,52.555996,197953800
11/1/2016,57.259998,62.849998,56.27,62.41,57.332981,332274600
12/1/2016,62.529999,64.07,62.02,62.220001,57.158436,197305300
1/1/2017,62.68,64.849998,62.349998,63.380001,58.580616,223983200
2/1/2017,63.48,66.279999,62.889999,65.860001,60.872822,197706700
3/1/2017,66.43,67.190002,63.549999,65.059998,60.133404,240258100
4/1/2017,65.089996,67.040001,64.019997,66.339996,61.595253,183125600
5/1/2017,66.480003,67.540001,64.650002,67.519997,62.690865,186521900
6/1/2017,67.699997,69.190002,67.129997,68.110001,63.238678,227747400
7/1/2017,68.419998,69.580002,67.910004,68.309998,63.724552,140892800
8/1/2017,68.370003,69.07,66.949997,68.459999,63.864479,216224100
9/1/2017,68.610001,71.110001,67.610001,71,66.233986,168585200
10/1/2017,70.970001,73.199997,70.860001,71.529999,67.033539,197960600
11/1/2017,71.75,74.660004,70.040001,74.510002,69.826225,164670700
12/1/2017,74.379997,76,72.760002,75.669998,70.913284,191122200
1/1/2018,75.919998,80.959999,75.57,79.730003,75.123978,244290800
2/1/2018,79.220001,80.269997,71.489998,76.650002,72.221924,327380700
3/1/2018,76.68,78.580002,72.639999,74.290001,69.99826,324103200
4/1/2018,74.07,76.410004,71.779999,72.220001,68.322113,309719000
5/1/2018,72.110001,76.809998,70.029999,74.440002,70.422287,260773700
6/1/2018,74.870003,76.82,70.82,71.629997,67.763931,246442700
7/1/2018,71.07,76.989998,70.889999,76.919998,73.060234,250605000
8/1/2018,76.629997,77.919998,73.989998,77.099998,73.231209,227204800
9/1/2018,76.809998,80.410004,76.650002,78.400002,74.465981,186654800
10/1/2018,79.360001,80.019997,66.989998,69.879997,66.694145,461690600
11/1/2018,70.169998,73.540001,69.080002,72.540001,69.232887,333707800
12/1/2018,73.910004,74.459999,59.919998,64.410004,61.473537,363820100
1/1/2019,63.459999,72.110001,62.490002,71.769997,68.921188,314928100
2/1/2019,71.980003,82.660004,71.690002,76.339996,73.309784,193918700
3/1/2019,76.910004,77.099998,72.790001,75.029999,72.051788,293506500
4/1/2019,75.720001,78.949997,75.160004,78.010002,75.345306,217844500
5/1/2019,78.25,78.5,71.989998,72.050003,69.588905,300691400
6/1/2019,71.93,77.93,71.910004,77.419998,74.775459,208504500
7/1/2019,78.050003,79.07,76.279999,77.82,75.48867,185194600
8/1/2019,77.68,78.279999,72.190002,75.760002,73.490372,258816600
9/1/2019,75.040001,79.790001,74.260002,77.629997,75.304359,202831100
10/1/2019,77.910004,79.43,73.18,78.510002,76.561623,225972700
11/1/2019,79.059998,82.650002,79.010002,82.040001,80.004021,186657600
12/1/2019,82.029999,82.540001,79.260002,81.470001,79.448158,203490800
1/1/2020,82.050003,84.809998,80.800003,81.110001,79.490295,256712100
2/1/2020,81.550003,85.330002,71.300003,73.080002,71.620659,341946400
3/1/2020,73.949997,77.529999,47.709999,59.009998,57.831619,587903300
4/1/2020,56.380001,66.220001,55.540001,64.209999,63.416355,297247500
5/1/2020,63.080002,69.650002,56.970001,67.669998,66.833588,249109200
6/1/2020,67.599998,76.529999,65.629997,68.699997,67.850853,342214100
7/1/2020,69.379997,73.089996,66.919998,71.730003,71.157928,215987500
8/1/2020,71.82,78.860001,71.370003,77.809998,77.189438,205602200
9/1/2020,77.559998,80.309998,74.349998,76.980003,76.366058,297121300
10/1/2020,77.519997,82.129997,74.639999,75.870003,75.557434,251270100
11/1/2020,77,90.160004,76.440002,88.029999,87.667336,254695900
